Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
p1_a2_7d37b410	m_raul	mujer 1: malparido	game/p1_a2.rpy	15	m_raul "[what]"
p1_a2_d8b2b501	m_raul	mujer 2: cerdo	game/p1_a2.rpy	16	m_raul "[what]"
p1_a2_3d458558	m_raul	mujer 3: merecido lo tiene	game/p1_a2.rpy	17	m_raul "[what]"
p1_a2_9b9168a4	m_raul	mujer 4: ojala lo hubiese hecho yo	game/p1_a2.rpy	18	m_raul "[what]"
p1_a2_e1ba6b6b	m_raul	mujer 5: me voy de aqui, no se merece mi atención ni muerto	game/p1_a2.rpy	19	m_raul "[what]"
p1_a2_59388687	car	(Nunca se supo muy bien quién lo mató, pero como él no era hombre de orden, parece que lo hubieran matado como escarmiento.)	game/p1_a2.rpy	21	car "[what]"
p1_a2_fa540daa		Yo todavía pagó el precio por haber quedado untada de esa sangre y de esos ojos	game/p1_a2.rpy	24	"[what]"
p1_a2_c576a4ae		porque todavía a mis 37 años no puedo dormir en un cuarto oscuro sin verlo parado a los pies de la cama, o en el suelo acostado con la lengua por fuera, como quedó muerto.	game/p1_a2.rpy	25	"[what]"
p1_a2_b7be0d17		Es como si yo le hubiera quedado debiendo algo.	game/p1_a2.rpy	26	"[what]"
p1_a3_eac94d33	car	(A pesar de mi pesadilla, de niña vivía muy bien porque yo era la mirada misma de mi papá.)	game/p1_a3.rpy	9	car "[what]"
p1_a3_1c3b0058	car	(Él me hablaba con los ojos y yo ya entendía lo que él no decía con la boca. Éramos muy unidos. A veces sentía que éramos la misma persona.)	game/p1_a3.rpy	10	car "[what]"
p1_a3_8ee36082	car	(Era un hombre bueno en su casa y con los vecinos, a pesar de que la Violencia lo había marcado muy adentro.)	game/p1_a3.rpy	11	car "[what]"
p1_a3_17936bdc	papa	Ojalá a nosotros nunca nos toque ni siquiera una uña, por eso yo le pido a Dios, cada domingo, que no nos vaya a coger la guerra,	game/p1_a3.rpy	18	papa "[what]"
p1_a3_ddcec4d1	papa	como antes que me toco esconderme en el monte para evitar que me asesinaran los chulavitas.	game/p1_a3.rpy	19	papa "[what]"
p1_a3_5b7773d1	papa	Yo estuve enmontado como un animal, pasando a la guerrilla	game/p1_a3.rpy	21	papa "[what]"
p1_a3_be61ea2d	papa	y recorrí todo eso del Cañón de las Hermosas, del río Amoyá para arriba a salir por el páramo hasta el río Atá, y por el río Amoyá para abajo hasta salir al Saldaña. 	game/p1_a3.rpy	22	papa "[what]"
p1_a3_41ade54b	papa	Entregué mis armas al ejército a cambio de nada, cuando Rojas medio cuadro eso, esa vez no consegui nada, pero en esas movidas me encontré con su mamá. 	game/p1_a3.rpy	24	papa "[what]"
p1_a3_3f4f7f9b	mama	El aun era del monte cuando lo conoci, pasaba a veces y me conversaba, me preguntaba por la gente y se volvia a ir. 	game/p1_a3.rpy	33	mama "[what]"
p1_a3_10056b88	mama	Siempre se mr presentaba sin armas, con su ropa de civil, y ella, cuando él pasaba, pensaba que no volvería a verlo. 	game/p1_a3.rpy	35	mama "[what]"
p1_a3_2c5a1d7e	mama	Hasta que una vez, cuando ya se había entregado, se le presentó en forma de retirado. Él decía, por coquetearle a mi mamá, que la culpa de esa entrega había sido de ella, por tener esos ojos como los tenía. 	game/p1_a3.rpy	37	mama "[what]"
p1_a4_4f189eaa		Una vez me presentó a un compañero del monte y eran muy iguales.	game/p1_a4.rpy	8	"[what]"
p1_a4_5ab39ff8		Según lo que comentaban entre ellos, todos los de la vereda -que eran de los mismos años- habían hecho la misma vida, 	game/p1_a4.rpy	21	"[what]"
p1_a4_d9377ad3		se habían salido al mismo tiempo y se habían casado con las muchachas que habían conocido en sus andanzas. 	game/p1_a4.rpy	22	"[what]"
p1_a4_9286b2b2		Enterraron el pasado de guerra y se dedicaron a ser sólo lo que eran, gente del campo. Eran una familia grande que vivía en la misma tierra, tierra de indios.	game/p1_a4.rpy	24	"[what]"
p1_a4_83057cb0		Porque mi papá y mis abuelos, como casi toda la gente de esas veredas, eran medio indios 	game/p1_a4.rpy	26	"[what]"
p1_a4_e9fdcfed		y tenían derecho en las tierras de Yaguará y Calarma, que el indio Quintín Lame había peleado.	game/p1_a4.rpy	28	"[what]"
p1_a4_d9dc3631		Tanto así que mi papá tenía derechos sobre el resguardo del Yarí, una tierra que el	game/p1_a4.rpy	30	"[what]"
p1_a4_96f49d38		 gobierno les había entregado en medio de las sabanas del Caquetá, para hacer un pueblo.	game/p1_a4.rpy	31	"[what]"
p1_a4_53786105		Un pueblo que hicieron y que trabajaron a pesar de que cuando un domingo del año 61 el avión	game/p1_a4.rpy	33	"[what]"
p1_a4_3226fcc6		 de la FAC los dejó tirados con familias, perros y gallinas en el Yarí, no sabían ni cómo hacer candela.	game/p1_a4.rpy	34	"[what]"
p1_a4_ebd0c213		 Fueron los indios de allá los que volvieron a enseñarles a pescar y a cazar,	game/p1_a4.rpy	36	"[what]"
p1_a4_723913eb		 porque los ríos de Yaguará se habían quedado sin pescado, y sin animales de monte las cordilleras.	game/p1_a4.rpy	37	"[what]"
p1_a4_8aae8111		Les enseñaron a volver a comer faiña en vez de arroz y a tomar chicha de pipire - chontaduro, que llamamos por aquí en vez de cerveza.	game/p1_a4.rpy	39	"[what]"
p1_a4_37dc2a48		No conocí el Yarí, gracias a Dios, porque a mi familia, a mis tíos y a mis primos, los bombardeó la misma FAC en el año 97, 	game/p1_a4.rpy	41	"[what]"
p1_a4_7bec2457		buscando en esas sabanas a Marulanda, y como retaliación porque el gobierno había tenido que aceptar el despeje de Cartagena	game/p1_a4.rpy	43	"[what]"
p1_a4_b75f86b2		 del Chairá para entregar a los soldaditos que las guerrillas le habían quitado en Las Delicias.	game/p1_a4.rpy	44	"[what]"
p1_a4_936b142e		Supimos que a las mujeres que salían a lavar ropa con los hijos a la orilla del río Tunia, los soldados, por divertirse, les disparaban sólo para verlas correr. 	game/p1_a4.rpy	46	"[what]"
p1_a5_2c9526ce	hermanos	Papá esa niña la tiene que poner es a trabajar y que deje de comer tanto libro	game/p1_a5.rpy	10	hermanos "[what]"
p1_a5_f38d1d49		Por ese tipo de comentarios me empece a aburrir en el Tolima.	game/p1_a5.rpy	12	"[what]"
p1_a5_dcffa208		Eso de aprender en los libros sí era muy importante para mí	game/p1_a5.rpy	14	"[what]"
p1_a5_2ea7ba82		Yo quería ser más persona. Para mí ellos eran unos burros	game/p1_a5.rpy	16	"[what]"
p1_a5_b22af851	papa	Sabe mija, mejor la saco de aqui de Ortega y la mando para Armenia con su tía.	game/p1_a5.rpy	23	papa "[what]"
irse_44572973		Yo sé que eso le dolió, porque cuando se despidió no me quería mirar, y cuando al final le tocó, le vi una apagadera en los ojos.	game/p1_a5.rpy	37	"[what]"
quedarse_97e9ba7b	car	no soy la persona mas feliz aqui, pero mejor me quedo, me eso que andar de paticaliente en otro lado	game/p1_a5.rpy	46	car "[what]"
p1_a6_663c58cc		Mi vida en ese pueblo fue muy desgraciada.	game/p1_a6.rpy	9	"[what]"
p1_a6_73de184f	tia	Que los santos no vean que usted no rezo el rosario.	game/p1_a6.rpy	10	tia "[what]"
p1_a6_2a246089		Mi tía era camandulera y me obligaba a ir a misa los domingos.	game/p1_a6.rpy	11	"[what]"
p1_a6_dbe5ff93		El colegio era de monjas, unas mujeres resentidas y envidiosas.	game/p1_a6.rpy	12	"[what]"
p1_a6_25c10e47		Tenían tanto vicio escondido que vivían hablando de las virtudes.	game/p1_a6.rpy	14	"[what]"
p1_a6_4a75bcf7		De hecho, hubo una que se enamoró de mí y día y noche me seguía con su mirada vidriosa.	game/p1_a6.rpy	16	"[what]"
p1_a6_8e2a4121		Se mantenía con las manos sudorosas y yo le tenía asco, porque olía a caja de dientes.	game/p1_a6.rpy	18	"[what]"
p1_a6_0048d8b9		La odiaba y, para peor, era la profesora de educación física y la encargada de la enfermería y el comisariato.	game/p1_a6.rpy	20	"[what]"
p1_a6_84e9361f		*sonido de sorpresa*	game/p1_a6.rpy	22	"[what]"
p1_a6_7b78acc3		Así que por fuerza uno tenía que ver con ella.	game/p1_a6.rpy	24	"[what]"
p1_a6_0e11ef6a		Yo vivía con dolor de cabeza, la regla me salió premiada y desde la primera vez, cada vez que me visita, me llega así.	game/p1_a6.rpy	26	"[what]"
p1_a6_3a1b305d		Yo prefería aguantarmelo que ir a la enfermería a decirle algo a la monja-Sor Encarnación	game/p1_a6.rpy	28	"[what]"
p1_a6_e0813c72		Se llamaba asi, porque por cualquier cosa hacía que uno se acostara en una medio camilla y comenzaba a tocar le los ganglios	game/p1_a6.rpy	29	"[what]"
p1_a6_1e554b98		Haciendo quinto me fugué del colegio y de la casa de mi tía, y me puse a trabajar en una papelería.	game/p1_a6.rpy	31	"[what]"
p2_a1_10eb946b		Ya estando de 18 años en Armenia, mi papá fue a recogerme.	game/p2_a1.rpy	10	"[what]"
p2_a1_3c94848b		El todavía tenía la misma mirada triste. El hecho de que yo estuviera atendiendo en una papelería, no le gustó. 	game/p2_a1.rpy	12	"[what]"
p2_a1_922bbd1d		Su niña consentida no tenía por qué estar atendiendo a nadie y para ajustar, estar viviendo en una pensión sucia y hasta fea.	game/p2_a1.rpy	14	"[what]"
p2_a1_9b7e6ae4	papa	Vuelvase conmigo para que pueda seguir estudiando o para que aprenda algún arte. 	game/p2_a1.rpy	22	papa "[what]"
p2_a1_6148e074		Volví a la finca de San José de las Hermosas. Mis hermanos habían crecido y estaban dedicados a sus negocios.	game/p2_a1.rpy	29	"[what]"
p2_a1_0200a932		Ahí todo el tiempo escuchaba hablar de un tal Álvaro	game/p2_a1.rpy	31	"[what]"
p2_a1_8b502862		que traía el mercado, que ordeñaba, que arreglaba los caballos, que llevaba la leche a Chaparral, que Álvaro para esto y para lo otro.	game/p2_a1.rpy	33	"[what]"
p2_a1_e278abe1		Yo ya llevaba un mes en la finca y del Álvaro sólo conocía el nombre.	game/p2_a1.rpy	35	"[what]"
p2_a1_bc909437		Mi papá me dijo que para que no perdiera el tiempo me iba a matricular en un curso de modistería, mientras me ponía a estudiar otra vez. 	game/p2_a1.rpy	36	"[what]"
p2_a1_4dc734cb		Se me hizo tarde para ir a la plaza.\n Tengo que salir a toda	game/p2_a1.rpy	39	"[what]"
p2_a2_8ce673ec		Entonces salimos a Chaparral y en la plaza.	game/p2_a2.rpy	9	"[what]"
p2_a2_60aa07e9	alvaro	Buenos dias	game/p2_a2.rpy	15	alvaro "[what]"
p2_a2_28eada70		Yo pasé de largo, toda imponente y vanidosa, y medio le contesté el saludo.	game/p2_a2.rpy	18	"[what]"
p2_a2_f87ced02	hermanos	¡Mire, es Álvaro!	game/p2_a2.rpy	20	hermanos "[what]"
p2_a2_9efde2b4	car	¿Y eso era todo el Álvaro? ¡Yo creía que ustedes hablaban era de otra cosa! 	game/p2_a2.rpy	22	car "[what]"
p2_a2_594a69e7	alvaro	Dejeme yo la acompaño a hacer las vueltas al centro	game/p2_a2.rpy	29	alvaro "[what]"
p2_a2_eaaf15bf	car	no, gracias	game/p2_a2.rpy	30	car "[what]"
p2_a2_78e3f549		Al ratico estaba haciendo mis compras y otra vez el tipo, moleste que moleste.	game/p2_a2.rpy	32	"[what]"
p2_a2_4f34cd52	car	A lo mejor mi papá se pone bravo, mejor tener cuidado	game/p2_a2.rpy	34	car "[what]"
p2_a2_00e4f305	alvaro	no se me preocupe, fresca con eso.	game/p2_a2.rpy	35	alvaro "[what]"
p2_a2_a766034b	car	Nooo hermanitas, les decía yo que ese tipo era muy aburridor. 	game/p2_a2.rpy	38	car "[what]"
p2_a3_60898c1a		Salía de mí curso de modistería y ahí estaba plantoneado, esperándome. 	game/p2_a3.rpy	4	"[what]"
p2_a3_57cef4bc		Siempre se ofrecía a acompañarme y yo como que no quería la cosa, pero luego me fui poniendo blandita.	game/p2_a3.rpy	11	"[what]"
p2_a3_864d4513		Por eso es que uno no debe hablar duro de lo que no quiere, porque después le toca comerse lo que dijo. 	game/p2_a3.rpy	18	"[what]"
p2_a3_31b5dd5e		Una vez que me estaba esperando no había luz, yo tenía como miedo	game/p2_a3.rpy	20	"[what]"
p2_a3_4572a737		y viendo que él vivía al frente de la casa pues le dije que sí, que me acompañara.	game/p2_a3.rpy	21	"[what]"
p2_a3_e7676dfe		De ahí nos seguimos hablando y me fue pareciendo cada vez menos antipático de lo que yo creía. 	game/p2_a3.rpy	30	"[what]"
p2_a4_fc6e7c3e		Desde ahi el ya me habló seriamente, y entonces las conversaciones se volvieron visitas de todos los días.	game/p2_a4.rpy	4	"[what]"
p2_a4_32429223		Cuando empezaron a preguntarme en la casa que si yo me había cuadrado con Álvaro, yo decía que eso era por molestar un rato	game/p2_a4.rpy	20	"[what]"
p2_a4_40ce6107		pero hoy en dia ese rato se convirtió en diecisiete años y seis hijos.	game/p2_a4.rpy	21	"[what]"
p2_a4_2ba6c20e		el un dia me propuso algo un poco esperado para mi	game/p2_a4.rpy	23	"[what]"
p2_a4_17ec14d9		Nos volamos?	game/p2_a4.rpy	29	"[what]"
si_me_voy_16ff2385		Yo estaba muy aburrida porque mi mamá cantaleteaba a todo momento	game/p2_a4.rpy	41	"[what]"
si_me_voy_07d8c0d9		y como yo sabía vivir sola y le había perdido el misterio a irme de la casa	game/p2_a4.rpy	42	"[what]"
si_me_voy_c8c9712e		me fui con Álvaro. 	game/p2_a4.rpy	43	"[what]"
no_me_voy_7efe16d3	car	aqui tengo las cosas medio aseguradas, es muy peligroso arriesgarnos asi, de amor no se vive	game/p2_a4.rpy	52	car "[what]"
no_me_voy_f8eb14e7	alvaro	Que lastima, sabiendo que aqui no la dejan ser	game/p2_a4.rpy	53	alvaro "[what]"
p3_a1_a2a0c8d5	car	Me voy con Alvaro	game/p3_a1.rpy	9	car "[what]"
p3_a1_4d29946c	mama	COMO CHINA MALPARIDA??!!!!	game/p3_a1.rpy	15	mama "[what]"
p3_a1_b3205786		Cuando le dije a mi mamá, cogió una correa de mi papá y me dio dos lapos por las piernas, como si yo tuviera otra vez ocho años. 	game/p3_a1.rpy	16	"[what]"
p3_a1_9086c373		*sonido de azoteos*	game/p3_a1.rpy	17	"[what]"
p3_a1_4a5c0016		Me dejó toda quemada, bien marcados los azotes y eso me calentó la sangre de todo el cuerpo. 	game/p3_a1.rpy	18	"[what]"
p3_a1_f4eb4d21		Sin embargo, el hombre me propuso y yo dispuse. 	game/p3_a1.rpy	19	"[what]"
p3_a10_476b9a34		Nos fuimos un domingo para Chaparral a buscar empleo.	game/p3_a10.rpy	4	"[what]"
p3_a10_3390b027		Fuimos a a una oficina para los que saben hacer algo pero no tienen en dónde	game/p3_a10.rpy	17	"[what]"
p3_a10_eb6906bc		Nos entrevistamos con una señora muy elegante y amable.	game/p3_a10.rpy	28	"[what]"
p3_a10_7be4c993	d_finca	Podrian trabajar en una finca mia, queda en La Marina, por allá para los lados de Tuluá.	game/p3_a10.rpy	35	d_finca "[what]"
p3_a10_934e076f		Nos pintó todo maravilloso, pajaritos de oro, campanitas de cristal, que nos pagaba	game/p3_a10.rpy	36	"[what]"
p3_a10_b7c46d63		Que nos hacía el mercado, que nos prestaba las bestias, que por allá los niños no se enfermaban.	game/p3_a10.rpy	37	"[what]"
p3_a10_75bc1898		Además nos dio patio libre para criar animales y para hacer los cultivos nuestros.	game/p3_a10.rpy	39	"[what]"
p3_a10_a6c9fb99		Al principio yo no me decidía del todo, porque uno aprende a desconfiar del color de las rosas	game/p3_a10.rpy	41	"[what]"
p3_a10_a42c4ea8		y porque sabía que por allá la soledad era la compañera de uno y yo estaba acostumbrada a la bulla de mi gente.	game/p3_a10.rpy	42	"[what]"
p3_a10_a41454cc		Pero me decidí el día que en la esquina de la casa mataron a un vecino, un muchacho joven	game/p3_a10.rpy	52	"[what]"
p3_a10_83f702de		*sonido de fuego o algo quemandose*	game/p3_a10.rpy	54	"[what]"
p3_a10_287f091f		que estaba chupando piña con su novia, inocente de que el diablo estuviera tras la puerta.	game/p3_a10.rpy	56	"[what]"
p3_a10_49b73d26		Llegaron tres tipos y quemaron al pelado. A la muchacha también le dieron, aunque Dios la favoreció.	game/p3_a10.rpy	58	"[what]"
p3_a10_cfe330cb		Me dio miedo llegar a convivir con la muerte y que los niños se criaran viendo cadáveres de un lado y de otro.	game/p3_a10.rpy	59	"[what]"
p3_a10_1c217040		Uno no se quiere enterar de los hechos, así hayan sucedido en sus propias narices, porque eso es llevar señalamientos encima y no conviene.	game/p3_a10.rpy	61	"[what]"
p3_a10_4a8f2ae2		Se supo que los muchachos habían sido corretiados por la guerrilla en Planadas y les habían puesto como límite todo el Tolima	game/p3_a10.rpy	63	"[what]"
p3_a10_1a6daf16		mejor dicho, les habían dado la orden de desocupar el departamento, pero ellos no acataron la orientación	game/p3_a10.rpy	64	"[what]"
p3_a10_da73c25d		o no creyeron que los guerreros les llegaran a Chaparral, o quién sabe qué pensarían.	game/p3_a10.rpy	65	"[what]"
p3_a10_52bf306b		Yo sí digo que si a mí me dan la oportunidad de vivir, así no haya cometido delito, pues pendeja si no la aprovechó.	game/p3_a10.rpy	67	"[what]"
p3_a10_dfdf1d4b		De todas maneras en ese pueblo había rachas de sangre, épocas de matanza. Era peligroso caer por equivocación.	game/p3_a10.rpy	69	"[what]"
p3_a10_9764facb		Ya con el susto, y tan necesitados y tan endeudados, le aceptamos la oferta a la señora de La Marina.	game/p3_a10.rpy	71	"[what]"
p3_a11_41a42457		Nos fuimos primero con Álvaro a conocer, y era tanta la ambición que hicimos el viaje por la cordillera, por el paso de Las Hermosas.	game/p3_a11.rpy	4	"[what]"
p3_a11_d8798aee		*sonidos de caballos relinchando*	game/p3_a11.rpy	10	"[what]"
p3_a11_629b32e1		Yo conocía hasta una finca llamada La Germania, tierra ya fría, donde el río baja hecho el mismo diablo.	game/p3_a11.rpy	12	"[what]"
p3_a11_b2a2a1d6		El pie de páramo es bonito; hay árboles que se llaman sietecueros, de flores moradas, púrpuras y nazarenas.	game/p3_a11.rpy	14	"[what]"
p3_a11_65b70e4e		Es un árbol que alumbra. Uno se queda mirándolo y sus flores se pierden entre la vista y hacen una especie de espejismo, siendo como son tan notorias.	game/p3_a11.rpy	16	"[what]"
p3_a11_86ed915f		Más arriba vienen los fraylejonales, grandísimos y más encima esos silencios	game/p3_a11.rpy	18	"[what]"
p3_a11_c669e4c6		y esas soledades tan extendidos que lo hacen creer a uno que llegó al final del mundo. 	game/p3_a11.rpy	19	"[what]"
p3_a11_874c3370		Sólo se oye el esfuerzo de las bestias, con esa paciencia tan noble con que lo cargan a uno sin saber para dónde van.	game/p3_a11.rpy	23	"[what]"
p3_a11_d3e676bf		*sonido de trote de caballos*	game/p3_a11.rpy	25	"[what]"
p3_a11_18457bd6		A mí me gusta ir hablándoles, dándoles consejos, contándoles historias para desaburrirlas, para compensarles tanto esfuerzo.	game/p3_a11.rpy	27	"[what]"
p3_a11_b47ce57d		Arriba, arriba, cuando uno corona la altura, se ve casi todo el país.	game/p3_a11.rpy	29	"[what]"
p3_a11_c08ce278		Para un lado está el río Magdalena, que no se ve pero se siente, siendo como es la brújula de las aguas	game/p3_a11.rpy	31	"[what]"
p3_a11_def0a12e		al otro lado está el río Cauca, soltando su calor aplatanado, al otro lado se mira el Nevado del Tolima como un centinela	game/p3_a11.rpy	32	"[what]"
p3_a11_e41b4829		y para el lado que nos falta está el Nevado del Huila, grande como un altar.	game/p3_a11.rpy	33	"[what]"
p3_a11_f5b42240		Las Hermosas se llama así por las lagunas que allí habitan criando aguas, puestas en escalera	game/p3_a11.rpy	35	"[what]"
p3_a11_61b86022		echándose el agua una a la otra, y que aún en días nublosos se ven azules.	game/p3_a11.rpy	36	"[what]"
p3_a11_0f5f28ca		Hay dos que se llaman Las Mellizas porque son la misma cara una con otra y ambas miran para los lados de Barragán.	game/p3_a11.rpy	37	"[what]"
p3_a11_047407d3		En eso tiempo trataba de olvidar viejas vivencias y malas memorias	game/p3_a11.rpy	39	"[what]"
p3_a11_9cc28425		Trataba de apuntar aun mejor futuro con Alvaro, ambos esperando lo mejor de cuidar esa finca	game/p3_a11.rpy	40	"[what]"
p3_a2_22317604		Desde ese día empezamos a vivir juntos. Llegamos a Ibagué y hablamos con un cura.	game/p3_a2.rpy	4	"[what]"
p3_a2_a6b57c05	cura	Les toca casarse, pero usted señorita tiene que hablar con sus papás.	game/p3_a2.rpy	10	cura "[what]"
p3_a2_721a203b	car	No se va a poder, porque mi papá me echo de la casa	game/p3_a2.rpy	26	car "[what]"
p3_a2_6677af6a	cura	 Enserio??	game/p3_a2.rpy	27	cura "[what]"
p3_a2_5593a652	car	Mentiras, él nunca echo, ni nunca me pegó. 	game/p3_a2.rpy	28	car "[what]"
p3_a2_33d272dd		Yo era de pura gana de joder a mi mamá porque ni en el matrimonio ni en los curas creía. Ni creo.	game/p3_a2.rpy	29	"[what]"
p3_a2_55be75a9	cura	Pecadores!!, ¿a dónde van a parar? si no se casans por la Iglesia, no tendran hijos según la ley de Dios.	game/p3_a2.rpy	30	cura "[what]"
p3_a2_ade1ec76		 Total, con tanta pendejada dejamos la cosa así y el matrimonio se refundió. 	game/p3_a2.rpy	31	"[what]"
p3_a3_981503eb		Quedé embarazada a los quince días. Era feliz. Feliz de sentir a esa criaturita creciéndome por dentro. 	game/p3_a3.rpy	4	"[what]"
p3_a3_410e0c06		Pero esa ilusión se me murió de bronconeumonía a los tres meses.	game/p3_a3.rpy	18	"[what]"
p3_a3_03f67254		Al tiempito estaba otra vez embarazada.	game/p3_a3.rpy	19	"[what]"
p3_a3_f36f4649		Ya teníamos la vida más organizada porque Álvaro estaba trabajando en construcción.	game/p3_a3.rpy	27	"[what]"
p3_a3_9c2ab77f		Pagábamos una pieza que yo me dediqué a pintar y arreglar bonita para que el niño llegara a un sitio donde lo quisieran.	game/p3_a3.rpy	28	"[what]"
p3_a3_1411664b		En un rincón tenía la cuna y debajo de ella un depósito de pañales y de ropita. No sabíamos qué iba a ser.	game/p3_a3.rpy	29	"[what]"
p3_a3_6d988ca7		Pero cuando ya la piel no me daba más y el día del parto se acercaba	game/p3_a3.rpy	30	"[what]"
p3_a3_8fb208ef		me fue dando un miedo como el del día que mataron a don Raúl, de pensar que ella también se me muriera.	game/p3_a3.rpy	31	"[what]"
p3_a3_6939539b		Se me mezclaba la alegría con la tristeza y más encima con el miedo, casi me vuelvo loca.	game/p3_a3.rpy	32	"[what]"
p3_a4_e9179436		Pero la niña nació bien, y se miraba sana.	game/p3_a4.rpy	4	"[what]"
p3_a4_7e9fa8cc		El miedo, no obstante, me seguía dando vueltas y cada dos minutos iba a la cuna a ver si no se había ahogado con la cobijita.	game/p3_a4.rpy	5	"[what]"
p3_a4_dc161e39		Me daba miedo que un ratón le hiciera daño, que una mosca la picara, que un mal viento la enfermara.	game/p3_a4.rpy	7	"[what]"
p3_a4_12df58b3		No la dejaba ver de nadie, no fuera que le hicieran un maleficio. Estaba muy sugestionada con eso.	game/p3_a4.rpy	8	"[what]"
p3_a4_63007f68		De Ibagué nos movimos a Gachetá, en Cundinamarca, y luego volvimos a Chaparral, siempre detrás del trabajo.	game/p3_a4.rpy	11	"[what]"
p3_a4_01a9682f		Esa ha sido la vida de nosotros	game/p3_a4.rpy	13	"[what]"
p3_a4_c7f1b326		movernos conforme él conseguía dónde trabajar y qué hacer.	game/p3_a4.rpy	14	"[what]"
p3_a4_53f88c6c		Es triste, él en el trabajo, trabaje y trabaje, y yo en la casa, trabaje y trabaje.	game/p3_a4.rpy	16	"[what]"
p3_a5_79bfa7d5		En Chaparral me tocó encarar a la familia.	game/p3_a5.rpy	6	"[what]"
p3_a5_e6ea5ad3		Mi papá bajó de la finca y volví a verle la tristeza esa que sacaba a bailar cuando yo lo dejaba.	game/p3_a5.rpy	15	"[what]"
p3_a5_07963113		Creo que se sentía traicionado con mis ausencias.	game/p3_a5.rpy	16	"[what]"
p3_a5_db675f25		Me dolió, pero ya lo que se había dañado no se podía reponer.	game/p3_a5.rpy	18	"[what]"
p3_a5_750d5c71		Tengo fe y le ruego a Dios que me haya perdonado antes de que lo mataran	game/p3_a5.rpy	26	"[what]"
p3_a5_55da69bc		porque días antes él mismo le había dado a Álvaro el Guaz para que hiciera viajes entre las veredas de Rioblanco.	game/p3_a5.rpy	32	"[what]"
